File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,IPSyn_Utts,IPSyn_Total,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,#_participants
SD,eng,SALT_Convo,.,9;0-9;6,.,TD,.,.,.,.,.,.,Conversation,.,99.55,91.76,1.09,1.2,.,.,.,107.65,539.86,.,.,0.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Mean,eng,SALT_Convo,.,9;6-9;11,.,TD,.,.,.,.,.,.,Conversation,.,66.44,63.11,6.28,7.03,.,.,.,151.44,377.22,.,.,1.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
Min,eng,SALT_Convo,.,9;6-9;11,.,TD,.,.,.,.,.,.,Conversation,.,36,36,4.6,5.13,.,.,.,109,244,.,.,0.74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
Max,eng,SALT_Convo,.,9;6-9;11,.,TD,.,.,.,.,.,.,Conversation,.,117,107,7.65,8.52,.,.,.,210,568,.,.,1.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
SD,eng,SALT_Convo,.,9;6-9;11,.,TD,.,.,.,.,.,.,Conversation,.,28.07,26.73,1.11,1.26,.,.,.,33.76,115.56,.,.,0.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
Mean,eng,SALT_Convo,.,10;9-11;3,.,TD,.,.,.,.,.,.,Conversation,.,233.68,218.88,6.14,6.74,.,.,.,355.36,1346.2,.,.,1.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25
Min,eng,SALT_Convo,.,10;9-11;3,.,TD,.,.,.,.,.,.,Conversation,.,148,138,3.46,3.74,.,.,.,181,492,.,.,0.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25
Max,eng,SALT_Convo,.,10;9-11;3,.,TD,.,.,.,.,.,.,Conversation,.,304,278,8.63,9.63,.,.,.,492,2089,.,.,1.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25
SD,eng,SALT_Convo,.,10;9-11;3,.,TD,.,.,.,.,.,.,Conversation,.,45.46,42.61,1.28,1.41,.,.,.,65.41,376.89,.,.,0.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25
Mean,eng,SALT_Convo,.,12;9-13;3,.,TD,.,.,.,.,.,.,Conversation,.,229.93,212.04,5.78,6.38,.,.,.,330.37,1233.63,.,.,1.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Min,eng,SALT_Convo,.,12;9-13;3,.,TD,.,.,.,.,.,.,Conversation,.,169,161,4.15,4.71,.,.,.,253,715,.,.,0.73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Max,eng,SALT_Convo,.,12;9-13;3,.,TD,.,.,.,.,.,.,Conversation,.,338,295,7.64,8.48,.,.,.,523,1867,.,.,1.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
SD,eng,SALT_Convo,.,12;9-13;3,.,TD,.,.,.,.,.,.,Conversation,.,47.86,40.1,1,1.06,.,.,.,61.65,338.85,.,.,0.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Mean,eng,SALT_Persuasion,.,12;10-13;11,.,TD,.,.,.,.,.,.,Persuasion,.,21.04,19.68,15.22,16.82,.,.,.,119.36,286.21,.,.,2.91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28
Min,eng,SALT_Persuasion,.,12;10-13;11,.,TD,.,.,.,.,.,.,Persuasion,.,8,7,9.96,11.33,.,.,.,74,121,.,.,1.83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28
Max,eng,SALT_Persuasion,.,12;10-13;11,.,TD,.,.,.,.,.,.,Persuasion,.,58,58,27.06,29.33,.,.,.,247,819,.,.,4.67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28
SD,eng,SALT_Persuasion,.,12;10-13;11,.,TD,.,.,.,.,.,.,Persuasion,.,11.75,11.15,4.04,4.48,.,.,.,40.45,153.2,.,.,0.71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28
Mean,eng,SALT_Persuasion,.,14;7-15;0,.,TD,.,.,.,.,.,.,Persuasion,.,29.8,28.87,16.25,17.99,.,.,.,164.2,462.47,.,.,3.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
Min,eng,SALT_Persuasion,.,14;7-15;0,.,TD,.,.,.,.,.,.,Persuasion,.,11,11,12.38,13.62,.,.,.,92,199,.,.,2.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
Max,eng,SALT_Persuasion,.,14;7-15;0,.,TD,.,.,.,.,.,.,Persuasion,.,82,80,19.44,21.67,.,.,.,305,1312,.,.,3.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
SD,eng,SALT_Persuasion,.,14;7-15;0,.,TD,.,.,.,.,.,.,Persuasion,.,17.66,17.32,2.25,2.47,.,.,.,55.77,278.3,.,.,0.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
Mean,eng,SALT_Persuasion,.,15;0-15;11,.,TD,.,.,.,.,.,.,Persuasion,.,27.92,26.62,16.35,18.03,.,.,.,150.96,421.44,.,.,3.06,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Min,eng,SALT_Persuasion,.,15;0-15;11,.,TD,.,.,.,.,.,.,Persuasion,.,11,10,9.5,10.55,.,.,.,74,145,.,.,1.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Max,eng,SALT_Persuasion,.,15;0-15;11,.,TD,.,.,.,.,.,.,Persuasion,.,89,89,26.81,29.44,.,.,.,323,1158,.,.,5.69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
SD,eng,SALT_Persuasion,.,15;0-15;11,.,TD,.,.,.,.,.,.,Persuasion,.,13.85,14.02,3.45,3.8,.,.,.,49.54,204.28,.,.,0.74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Mean,eng,SALT_Persuasion,.,16;1-17;0,.,TD,.,.,.,.,.,.,Persuasion,.,35.38,33.5,16.66,18.31,.,.,.,174.38,528.31,.,.,3.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
Min,eng,SALT_Persuasion,.,16;1-17;0,.,TD,.,.,.,.,.,.,Persuasion,.,9,9,9.21,10.33,.,.,.,94,188,.,.,2.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
Max,eng,SALT_Persuasion,.,16;1-17;0,.,TD,.,.,.,.,.,.,Persuasion,.,90,75,26.89,30.06,.,.,.,304,1142,.,.,4.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
SD,eng,SALT_Persuasion,.,16;1-17;0,.,TD,.,.,.,.,.,.,Persuasion,.,19.4,18.27,3.35,3.66,.,.,.,56.76,250.42,.,.,0.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
